target_id	length	eff_length	est_counts	tpm
NC_004830.2	10140	9933.93	0	0
ENA|CEND01000001|CEND01000001.1	10142	9935.93	0	0
NC_009025.1	9499	9292.93	0	0
NC_004807.1	9524	9317.93	0	0
NC_010711.1	3674	3467.93	0	0
NC_002548.1	9491	9284.93	0	0
NC_014137.1	9505	9298.93	0	0
NC_032433.1	5991	5784.93	4	26623
NC_003784.1	8550	8343.93	2	9229.01
NC_002066.1	8832	8625.93	216	964148
NC_006494.1	10112	9905.93	0	0
NC_040601.1	9552	9345.93	0	0
KX578272.1	4146	3939.93	0	0
NC_027631.1	6258	6051.93	0	0
NC_035071.1	20414	20207.9	0	0
KY354240.1	10091	9884.93	0	0
KY354234.1	14001	13794.9	0	0
KR819915.1	496396	496190	0	0
MG571088.1	1811	1604.93	0	0
MG571087.1	2194	1987.93	0	0
NC_027619.1	6169	5962.93	0	0
MK032464.1	8332	8125.93	0	0
MK032465.1	2198	1991.93	0	0
MK032466.1	1899	1692.93	0	0
MK032467.1	1983	1776.93	0	0
MK032468.1	1708	1501.93	0	0
MK032469.1	1442	1235.93	0	0
MK032470.1	951	744.934	0	0
