target_id	length	eff_length	est_counts	tpm
NC_004830.2	10140	9973.61	0	0
ENA|CEND01000001|CEND01000001.1	10142	9975.61	0	0
NC_009025.1	9499	9332.61	0	0
NC_004807.1	9524	9357.61	0	0
NC_010711.1	3674	3507.61	0	0
NC_002548.1	9491	9324.61	0	0
NC_014137.1	9505	9338.61	0	0
NC_032433.1	5991	5824.61	2	872051
NC_003784.1	8550	8383.61	0	0
NC_002066.1	8832	8665.61	0	0
NC_006494.1	10112	9945.61	0	0
NC_040601.1	9552	9385.61	0	0
KX578272.1	4146	3979.61	0	0
NC_027631.1	6258	6091.61	0	0
NC_035071.1	20414	20247.6	0	0
KY354240.1	10091	9924.61	0	0
KY354234.1	14001	13834.6	0	0
KR819915.1	496396	496230	25	127949
MG571088.1	1811	1644.61	0	0
MG571087.1	2194	2027.61	0	0
NC_027619.1	6169	6002.61	0	0
MK032464.1	8332	8165.61	0	0
MK032465.1	2198	2031.61	0	0
MK032466.1	1899	1732.61	0	0
MK032467.1	1983	1816.61	0	0
MK032468.1	1708	1541.61	0	0
MK032469.1	1442	1275.61	0	0
MK032470.1	951	784.611	0	0
