target_id	length	eff_length	est_counts	tpm
NC_004830.2	10140	9903.78	0	0
ENA|CEND01000001|CEND01000001.1	10142	9905.78	0	0
NC_009025.1	9499	9262.78	0	0
NC_004807.1	9524	9287.78	0	0
NC_010711.1	3674	3437.78	0	0
NC_002548.1	9491	9254.78	0	0
NC_014137.1	9505	9268.78	0	0
NC_032433.1	5991	5754.78	1	886851
NC_003784.1	8550	8313.78	0	0
NC_002066.1	8832	8595.78	0	0
NC_006494.1	10112	9875.78	0	0
NC_040601.1	9552	9315.78	0	0
KX578272.1	4146	3909.78	0	0
NC_027631.1	6258	6021.78	0	0
NC_035071.1	20414	20177.8	0	0
KY354240.1	10091	9854.78	0	0
KY354234.1	14001	13764.8	0	0
KR819915.1	496396	496160	11	113149
MG571088.1	1811	1574.78	0	0
MG571087.1	2194	1957.78	0	0
NC_027619.1	6169	5932.78	0	0
MK032464.1	8332	8095.78	0	0
MK032465.1	2198	1961.78	0	0
MK032466.1	1899	1662.78	0	0
MK032467.1	1983	1746.78	0	0
MK032468.1	1708	1471.78	0	0
MK032469.1	1442	1205.78	0	0
MK032470.1	951	714.778	0	0
