target_id	length	eff_length	est_counts	tpm
NC_004830.2	10140	9881.83	0	0
ENA|CEND01000001|CEND01000001.1	10142	9883.83	0	0
NC_009025.1	9499	9240.83	0	0
NC_004807.1	9524	9265.83	0	0
NC_010711.1	3674	3415.83	0	0
NC_002548.1	9491	9232.83	0	0
NC_014137.1	9505	9246.83	0	0
NC_032433.1	5991	5732.83	7	440955
NC_003784.1	8550	8291.83	7	304869
NC_002066.1	8832	8573.83	6	252721
NC_006494.1	10112	9853.83	0	0
NC_040601.1	9552	9293.83	0	0
KX578272.1	4146	3887.83	0	0
NC_027631.1	6258	5999.83	0	0
NC_035071.1	20414	20155.8	0	0
KY354240.1	10091	9832.83	0	0
KY354234.1	14001	13742.8	0	0
KR819915.1	496396	496138	2	1455.77
MG571088.1	1811	1552.83	0	0
MG571087.1	2194	1935.83	0	0
NC_027619.1	6169	5910.83	0	0
MK032464.1	8332	8073.83	0	0
MK032465.1	2198	1939.83	0	0
MK032466.1	1899	1640.83	0	0
MK032467.1	1983	1724.83	0	0
MK032468.1	1708	1449.83	0	0
MK032469.1	1442	1183.83	0	0
MK032470.1	951	692.833	0	0
