target_id	length	eff_length	est_counts	tpm
NC_004830.2	10140	9962	0	0
ENA|CEND01000001|CEND01000001.1	10142	9964	0	0
NC_009025.1	9499	9321	0	0
NC_004807.1	9524	9346	0	0
NC_010711.1	3674	3496	0	0
NC_002548.1	9491	9313	0	0
NC_014137.1	9505	9327	0	0
NC_032433.1	5991	5813	0	0
NC_003784.1	8550	8372	1	908076
NC_002066.1	8832	8654	0	0
NC_006494.1	10112	9934	0	0
NC_040601.1	9552	9374	0	0
KX578272.1	4146	3968	0	0
NC_027631.1	6258	6080	0	0
NC_035071.1	20414	20236	0	0
KY354240.1	10091	9913	0	0
KY354234.1	14001	13823	0	0
KR819915.1	496396	496218	6	91924.2
MG571088.1	1811	1633	0	0
MG571087.1	2194	2016	0	0
NC_027619.1	6169	5991	0	0
MK032464.1	8332	8154	0	0
MK032465.1	2198	2020	0	0
MK032466.1	1899	1721	0	0
MK032467.1	1983	1805	0	0
MK032468.1	1708	1530	0	0
MK032469.1	1442	1264	0	0
MK032470.1	951	773	0	0
