target_id	length	eff_length	est_counts	tpm
NC_004830.2	10140	9856.89	0	0
DWV-C	10149	9865.89	0	0
NC_009025.1	9499	9215.89	0	0
NC_004807.1	9524	9240.89	0	0
NC_010711.1	3674	3390.89	0	0
NC_002548.1	9491	9207.89	0	0
NC_014137.1	9505	9221.89	0	0
NC_032433.1	5991	5707.89	31194	990.165
NC_003784.1	8550	8266.89	37	0.810908
NC_002066.1	8832	8548.89	0	0
NC_006494.1	10112	9828.89	0	0
NC_040601.1	9552	9268.89	0	0
KX578272.1	4146	3862.89	0	0
NC_027631.1	6258	5974.89	0	0
NC_035071.1	20414	20130.9	0	0
KY354240.1	10091	9807.89	0	0
KY354234.1	14001	13717.9	0	0
KR819915.1	496396	496113	0	0
MG571088.1	1811	1527.89	0	0
MG571087.1	2194	1910.89	0	0
NC_027619.1	6169	5885.89	0	0
MK032464.1	8332	8048.89	0	0
MK032465.1	2198	1914.89	0	0
MK032466.1	1899	1615.89	0	0
MK032467.1	1983	1699.89	0	0
MK032468.1	1708	1424.89	0	0
MK032469.1	1442	1158.89	0	0
MK032470.1	951	668.232	0	0
gene-BBC0122_RS00005	822	541.521	0	0
gene-BBC0122_RS00010	597	329.668	0	0
gene-BBC0122_RS00015	858	577.02	0	0
gene-BBC0122_RS00020	588	321.747	0	0
gene-BBC0122_RS00025	702	426.822	0	0
gene-BBC0122_RS00030	2949	2665.89	0	0
gene-BBC0122_RS00035	579	313.872	0	0
gene-BBC0122_RS00040	198	52.3417	0	0
gene-BBC0122_RS00045	1221	937.887	0	0
gene-BBC0122_RS00050	642	370.835	0	0
gene-BBC0122_RS00055	687	412.848	0	0
gene-BBC0122_RS00060	540	280.563	0	0
gene-BBC0122_RS00065	1008	724.887	0	0
gene-BBC0122_RS00070	873	591.669	0	0
gene-BBC0122_RS00075	561	298.212	0	0
gene-BBC0122_RS00080	948	665.299	0	0
gene-BBC0122_RS00085	498	246.204	0	0
gene-BBC0122_RS00090	705	429.692	0	0
gene-BBC0122_RS00095	1401	1117.89	0	0
gene-BBC0122_RS00100	189	47.4007	0	0
gene-BBC0122_RS00105	1275	991.887	0	0
gene-BBC0122_RS00110	2439	2155.89	0	0
gene-BBC0122_RS00115	384	162.488	0	0
gene-BBC0122_RS00120	243	76.4046	0	0
gene-BBC0122_RS00125	972	689.098	0	0
gene-BBC0122_RS00130	300	108.419	0	0
gene-BBC0122_RS00135	288	101.575	0	0
gene-BBC0122_RS00140	1458	1174.89	0	0
gene-BBC0122_RS00145	1161	877.887	0	0
gene-BBC0122_RS00150	558	295.68	0	0
gene-BBC0122_RS00155	957	674.098	0	0
gene-BBC0122_RS00160	261	87.0959	0	0
gene-BBC0122_RS00165	768	489.593	0	0
gene-BBC0122_RS00170	456	213.328	0	0
gene-BBC0122_RS00175	684	409.932	0	0
gene-BBC0122_RS00180	645	373.568	0	0
gene-BBC0122_RS00185	957	674.098	0	0
gene-BBC0122_RS00190	939	656.431	0	0
gene-BBC0122_RS00195	393	169.116	0	0
gene-BBC0122_RS00200	603	335.151	0	0
gene-BBC0122_RS00205	1116	832.887	0	0
gene-BBC0122_RS00210	1368	1084.89	0	0
gene-BBC0122_RS00215	696	421.295	0	0
gene-BBC0122_RS00220	954	671.165	0	0
gene-BBC0122_RS00225	768	489.593	0	0
gene-BBC0122_RS00230	786	506.891	0	0
gene-BBC0122_RS00235	1071	787.887	0	0
gene-BBC0122_RS00240	1071	787.887	0	0
gene-BBC0122_RS00245	720	443.94	0	0
gene-BBC0122_RS00250	645	373.568	0	0
gene-BBC0122_RS00255	1161	877.887	0	0
gene-BBC0122_RS00260	987	703.958	0	0
gene-BBC0122_RS00265	1254	970.887	0	0
gene-BBC0122_RS00270	996	712.887	0	0
gene-BBC0122_RS00275	768	489.593	0	0
gene-BBC0122_RS00280	408	179.326	0	0
gene-BBC0122_RS00290	1419	1135.89	0	0
gene-BBC0122_RS00300	990	706.958	0	0
gene-BBC0122_RS00305	891	609.068	0	0
gene-BBC0122_RS00310	906	623.944	0	0
gene-BBC0122_RS00315	687	412.848	0	0
gene-BBC0122_RS00320	912	629.944	0	0
gene-BBC0122_RS00325	1806	1522.89	0	0
gene-BBC0122_RS00335	849	568.02	0	0
gene-BBC0122_RS00340	843	562.134	0	0
gene-BBC0122_RS00350	306	111.677	0	0
gene-BBC0122_RS00355	1923	1639.89	4	0.441934
gene-BBC0122_RS00360	1164	880.887	0	0
gene-BBC0122_RS00365	1188	904.887	0	0
gene-BBC0122_RS00370	1305	1021.89	6	1.0638
gene-BBC0122_RS00375	1185	901.887	2	0.401781
gene-BBC0122_RS00380	1164	880.887	2	0.41136
gene-BBC0122_RS00390	1170	886.887	0	0
gene-BBC0122_RS00395	711	435.385	0	0
gene-BBC0122_RS00400	363	148.138	0	0
gene-BBC0122_RS00405	678	404.553	0	0
gene-BBC0122_RS00410	765	486.593	0	0
gene-BBC0122_RS00415	774	495.296	0	0
gene-BBC0122_RS00420	537	278.098	0	0
gene-BBC0122_RS00425	1452	1168.89	0	0
gene-BBC0122_RS00430	912	629.944	0	0
gene-BBC0122_RS00435	1824	1540.89	0	0
gene-BBC0122_RS00440	1014	730.887	0	0
gene-BBC0122_RS00445	963	680.098	0	0
gene-BBC0122_RS00450	1323	1039.89	0	0
gene-BBC0122_RS00455	351	140.475	0	0
gene-BBC0122_RS00460	855	574.02	0	0
gene-BBC0122_RS00465	1392	1108.89	0	0
gene-BBC0122_RS00470	996	712.887	0	0
gene-BBC0122_RS00475	324	123.023	0	0
gene-BBC0122_RS00480	795	515.583	0	0
gene-BBC0122_RS00485	759	480.837	0	0
gene-BBC0122_RS00490	651	378.99	0	0
gene-BBC0122_RS00495	597	329.668	0	0
gene-BBC0122_RS00500	1008	724.887	0	0
gene-BBC0122_RS00505	558	295.68	0	0
gene-BBC0122_RS00510	1311	1027.89	0	0
gene-BBC0122_RS00515	1017	733.887	0	0
gene-BBC0122_RS00520	882	600.37	0	0
gene-BBC0122_RS00525	825	544.521	0	0
gene-BBC0122_RS00530	744	466.747	0	0
gene-BBC0122_RS00540	489	238.559	0	0
gene-BBC0122_RS00545	852	571.02	0	0
gene-BBC0122_RS00550	1122	838.887	0	0
gene-BBC0122_RS00555	336	130.537	0	0
gene-BBC0122_RS00560	282	98.4412	0	0
gene-BBC0122_RS00565	648	376.376	0	0
gene-BBC0122_RS00570	594	326.872	0	0
gene-BBC0122_RS00575	783	504.043	0	0
gene-BBC0122_RS00585	1548	1264.89	0	0
gene-BBC0122_RS00590	585	319.08	0	0
gene-BBC0122_RS00595	468	222.441	0	0
gene-BBC0122_RS00600	429	194.253	0	0
gene-BBC0122_RS00605	432	196.239	0	0
gene-BBC0122_RS00610	1230	946.887	0	0
gene-BBC0122_RS00615	498	246.204	0	0
gene-BBC0122_RS00620	390	166.92	0	0
gene-BBC0122_RS00625	822	541.521	0	0
gene-BBC0122_RS00630	1599	1315.89	0	0
gene-BBC0122_RS00635	3201	2917.89	0	0
gene-BBC0122_RS00640	1533	1249.89	0	0
gene-BBC0122_RS00645	1944	1660.89	0	0
gene-BBC0122_RS00650	4695	4411.89	0	0
gene-BBC0122_RS00655	555	292.958	0	0
gene-BBC0122_RS12735	69	39.4783	0	0
gene-BBC0122_RS00660	972	689.098	0	0
gene-BBC0122_RS00665	924	641.626	0	0
gene-BBC0122_RS00670	942	659.365	0	0
gene-BBC0122_RS00680	1020	736.887	0	0
gene-BBC0122_RS00685	1401	1117.89	0	0
gene-BBC0122_RS00690	2484	2200.89	0	0
gene-BBC0122_RS00695	1488	1204.89	0	0
gene-BBC0122_RS00700	720	443.94	0	0
gene-BBC0122_RS00705	3087	2803.89	0	0
gene-BBC0122_RS00710	3483	3199.89	0	0
gene-BBC0122_RS00715	324	123.023	0	0
gene-BBC0122_RS00720	339	132.42	0	0
gene-BBC0122_RS00725	1584	1300.89	0	0
gene-BBC0122_RS00730	1665	1381.89	0	0
gene-BBC0122_RS00735	492	241.005	0	0
gene-BBC0122_RS00740	588	321.747	0	0
gene-BBC0122_RS00745	237	72.6106	0	0
gene-BBC0122_RS00750	366	150.168	0	0
gene-BBC0122_RS00755	540	280.563	0	0
gene-BBC0122_RS00760	612	343.519	0	0
gene-BBC0122_RS00770	537	278.098	0	0
gene-BBC0122_RS00775	438	200.06	0	0
gene-BBC0122_RS00780	1596	1312.89	0	0
gene-BBC0122_RS00785	723	446.715	0	0
gene-BBC0122_RS00790	1788	1504.89	0	0
gene-BBC0122_RS00795	468	222.441	0	0
gene-BBC0122_RS00800	408	179.326	0	0
gene-BBC0122_RS00805	279	96.7313	0	0
gene-BBC0122_RS00815	624	354.475	0	0
gene-BBC0122_RS00820	1020	736.887	0	0
gene-BBC0122_RS00825	870	588.787	0	0
gene-BBC0122_RS00830	933	650.497	0	0
gene-BBC0122_RS00845	744	466.747	0	0
gene-BBC0122_RS00850	930	647.562	0	0
gene-BBC0122_RS00855	531	272.863	0	0
gene-BBC0122_RS00860	1191	907.887	0	0
gene-BBC0122_RS00865	1467	1183.89	0	0
gene-BBC0122_RS00870	987	703.958	0	0
gene-BBC0122_RS00875	588	321.747	1	0.563115
gene-BBC0122_RS00880	618	349.09	0	0
gene-BBC0122_RS00885	921	638.69	0	0
gene-BBC0122_RS00890	585	319.08	0	0
gene-BBC0122_RS00895	591	324.311	0	0
gene-BBC0122_RS00900	369	152.312	0	0
gene-BBC0122_RS00905	1371	1087.89	0	0
gene-BBC0122_RS00910	1359	1075.89	0	0
gene-BBC0122_RS00915	486	236.292	0	0
gene-BBC0122_RS00920	462	217.98	0	0
gene-BBC0122_RS00925	249	80.036	0	0
gene-BBC0122_RS00930	429	194.253	0	0
gene-BBC0122_RS00935	741	463.841	0	0
gene-BBC0122_RS00940	1053	769.887	0	0
gene-BBC0122_RS00945	204	55.3313	0	0
gene-BBC0122_RS00950	402	175.269	0	0
gene-BBC0122_RS00955	822	541.521	0	0
gene-BBC0122_RS00960	1086	802.887	0	0
gene-BBC0122_RS00965	2415	2131.89	0	0
gene-BBC0122_RS00970	1503	1219.89	0	0
gene-BBC0122_RS00975	762	483.691	0	0
gene-BBC0122_RS00980	1509	1225.89	0	0
gene-BBC0122_RS00985	282	98.4412	0	0
gene-BBC0122_RS00990	1020	736.887	0	0
gene-BBC0122_RS00995	1320	1036.89	0	0
gene-BBC0122_RS01000	897	615.068	0	0
gene-BBC0122_RS01005	831	550.301	0	0
gene-BBC0122_RS01010	1167	883.887	0	0
gene-BBC0122_RS01015	651	378.99	0	0
gene-BBC0122_RS01020	714	438.163	0	0
gene-BBC0122_RS01025	1005	721.887	0	0
gene-BBC0122_RS01035	1299	1015.89	0	0
gene-BBC0122_RS01040	1380	1096.89	0	0
gene-BBC0122_RS01045	1254	970.887	0	0
gene-BBC0122_RS01050	1581	1297.89	0	0
gene-BBC0122_RS01055	783	504.043	0	0
gene-BBC0122_RS01060	627	357.256	0	0
gene-BBC0122_RS01065	273	93.669	0	0
